Timestamp,participantID,audioStimuli,vote,reactionTime,voteDetails
4/11/2012 13:49:27,1334166421271:::South Africa,./../audio_stimuli/stimuli/MbeatD.mp3,-2,4861,1593:::Played stimuli ./../audio_stimuli/stimuli/MbeatD.mp3; (0:1334166564840); (-1:1334166564873); (-2:1334166564906); (-3:1334166564924); (-4:1334166564940); (-5:1334166564989); (-4:1334166565423); (-3:1334166565623); (-2:1334166565806)
4/11/2012 13:49:43,1334166421271:::South Africa,./../audio_stimuli/recs3/27instr 2.mp3,-4,10852,3708:::Played stimuli ./../audio_stimuli/recs3/27instr 2.mp3; (0:1334166578479); (-1:1334166578527); (-2:1334166579061); (-3:1334166580005); (-4:1334166580705)
4/11/2012 13:49:52,1334166421271:::South Africa,./../audio_stimuli/stimuli/MbaitT.mp3,1,6303,2038:::Played stimuli ./../audio_stimuli/stimuli/MbaitT.mp3; (0:1334166590644); (1:1334166590676)
4/11/2012 13:51:39,1334166421271:::South Africa,./../audio_stimuli/stimuli/MbuyQ.mp3,-1,3954,1750:::Played stimuli ./../audio_stimuli/stimuli/MbuyQ.mp3; (0:1334166697253); (-1:1334166697319)
4/11/2012 13:51:53,1334166421271:::South Africa,./../audio_stimuli/stimuli/MaboutQ.mp3,-2,3442,1620:::Played stimuli ./../audio_stimuli/stimuli/MaboutQ.mp3; (0:1334166711734); (-1:1334166711818); (-2:1334166712051)
4/11/2012 13:52:01,1334166421271:::South Africa,./../audio_stimuli/stimuli/MbootD.mp3,-1,5406,1776:::Played stimuli ./../audio_stimuli/stimuli/MbootD.mp3; (0:1334166718212); (-1:1334166718696)
4/11/2012 13:52:10,1334166421271:::South Africa,./../audio_stimuli/stimuli/MbootD.mp3,0,14614,1776:::Played stimuli ./../audio_stimuli/stimuli/MbootD.mp3; (0:1334166718212); (-1:1334166718696)
4/11/2012 13:52:39,1334166421271:::South Africa,./../audio_stimuli/stimuli/MputT.mp3,-5,4312,2220:::Played stimuli ./../audio_stimuli/stimuli/MputT.mp3; (0:1334166757281); (-1:1334166757315); (-2:1334166757349); (-3:1334166757364); (-4:1334166757382); (-5:1334166757398)
4/11/2012 13:52:50,1334166421271:::South Africa,./../audio_stimuli/stimuli/MpotQ.mp3,-5,2780,1698:::Played stimuli ./../audio_stimuli/stimuli/MpotQ.mp3; (0:1334166769136); (-1:1334166769169); (-2:1334166769186); (-3:1334166769203); (-4:1334166769235); (-5:1334166769252)
4/11/2012 13:52:55,1334166421271:::South Africa,./../audio_stimuli/stimuli/MbeatD.mp3,-5,2165,1593:::Played stimuli ./../audio_stimuli/stimuli/MbeatD.mp3; (0:1334166773697); (-1:1334166773714); (-2:1334166773729); (-3:1334166773746); (-4:1334166773780); (-5:1334166773796)
4/11/2012 13:53:27,1334166421271:::South Africa,./../audio_stimuli/stimuli/MboughtQ.mp3,-5,2450,1855:::Played stimuli ./../audio_stimuli/stimuli/MboughtQ.mp3; (0:1334166805695); (-1:1334166805906); (-2:1334166805939); (-3:1334166805956); (-4:1334166805989); (-5:1334166806023)
4/11/2012 13:53:57,1334166421271:::South Africa,./../audio_stimuli/stimuli/MbeatT.mp3,-5,2205,1881:::Played stimuli ./../audio_stimuli/stimuli/MbeatT.mp3; (0:1334166836404); (-1:1334166836436); (-2:1334166836487); (-3:1334166836503); (-4:1334166836537); (-5:1334166836604)
4/11/2012 13:54:03,1334166421271:::South Africa,./../audio_stimuli/stimuli/MbuttQ.mp3,-5,2749,1567:::Played stimuli ./../audio_stimuli/stimuli/MbuttQ.mp3; (0:1334166841697); (-1:1334166841730); (-2:1334166841764); (-3:1334166841781); (-4:1334166841814); (-5:1334166841847)
4/11/2012 13:54:08,1334166421271:::South Africa,./../audio_stimuli/stimuli/MbuyD.mp3,-5,2740,1672:::Played stimuli ./../audio_stimuli/stimuli/MbuyD.mp3; (0:1334166846575); (-1:1334166846608); (-2:1334166846624); (-3:1334166846658); (-4:1334166846691); (-5:1334166846724)
4/11/2012 13:54:23,1334166421271:::South Africa,./../audio_stimuli/stimuli/MbitQ.mp3,-3,2714,1332:::Played stimuli ./../audio_stimuli/stimuli/MbitQ.mp3; (0:1334166861608); (-1:1334166861658); (-2:1334166861724); (-3:1334166861790)
4/11/2012 13:54:42,1334166421271:::South Africa,./../audio_stimuli/stimuli/MbertD.mp3,-3,3035,3474:::Played stimuli ./../audio_stimuli/stimuli/MbertD.mp3; (0:1334166880733); (-1:1334166880751); (-2:1334166880784); (-3:1334166880817)
4/11/2012 13:55:09,1334166421271:::South Africa,./../audio_stimuli/stimuli/MpotT.mp3,-5,2727,2038:::Played stimuli ./../audio_stimuli/stimuli/MpotT.mp3; (0:1334166908187); (-1:1334166908236); (-2:1334166908270); (-3:1334166908320); (-4:1334166908387); (-5:1334166908470)
4/11/2012 13:55:15,1334166421271:::South Africa,./../audio_stimuli/stimuli/MbeatT.mp3,-5,3170,1881:::Played stimuli ./../audio_stimuli/stimuli/MbeatT.mp3
4/11/2012 13:55:26,1334166421271:::South Africa,./../audio_stimuli/stimuli/MbootD.mp3,-4,1112,1776:::Played stimuli ./../audio_stimuli/stimuli/MbootD.mp3; (-4:1334166925251)
4/11/2012 13:56:05,1334166421271:::South Africa,./../audio_stimuli/stimuli/MbertQ.mp3,-5,1304,3030:::Played stimuli ./../audio_stimuli/stimuli/MbertQ.mp3
4/11/2012 13:56:16,1334166421271:::South Africa,./../audio_stimuli/stimuli/MbaitQ.mp3,-5,1160,1411:::Played stimuli ./../audio_stimuli/stimuli/MbaitQ.mp3
4/11/2012 13:56:21,1334166421271:::South Africa,./../audio_stimuli/stimuli/MboughtT.mp3,-5,877,2638:::Played stimuli ./../audio_stimuli/stimuli/MboughtT.mp3
4/11/2012 13:56:24,1334166421271:::South Africa,./../audio_stimuli/stimuli/MbuyD.mp3,-5,627,1672:::Played stimuli ./../audio_stimuli/stimuli/MbuyD.mp3
4/11/2012 13:56:56,1334166421271:::South Africa,./../audio_stimuli/stimuli/MbuttQ.mp3,-5,3899,1567:::Played stimuli ./../audio_stimuli/stimuli/MbuttQ.mp3
4/11/2012 13:57:03,1334166421271:::South Africa,./../audio_stimuli/stimuli/MbeatQ.mp3,-5,913,1411:::Played stimuli ./../audio_stimuli/stimuli/MbeatQ.mp3
