Timestamp,participantID,audioStimuli,vote,reactionTime,voteDetails
4/11/2012 13:49:43,1334166421271:::South Africa,./../audio_stimuli/recs3/27instr 2.mp3,-4,10852,3708:::Played stimuli ./../audio_stimuli/recs3/27instr 2.mp3; (0:1334166578479); (-1:1334166578527); (-2:1334166579061); (-3:1334166580005); (-4:1334166580705)
4/11/2012 14:11:23,1334167356241:::Sussex,./../audio_stimuli/recs3/37instr 3.mp3,-5,1239,2628:::Played stimuli ./../audio_stimuli/recs3/37instr 3.mp3
4/11/2012 16:30:43,1334176213242:::Russia,./../audio_stimuli/stimuli/SpotT.mp3,2,12201,2377:::Played stimuli ./../audio_stimuli/stimuli/SpotT.mp3; (0:1334176231243); (1:1334176231427); (2:1334176232147)
4/11/2012 16:31:35,1334176213242:::Russia,./../audio_stimuli/stimuli/SbetQ.mp3,-3,2713,1489:::Played stimuli ./../audio_stimuli/stimuli/SbetQ.mp3; (0:1334176291980); (-1:1334176292100); (-2:1334176292228); (-3:1334176292276)
4/11/2012 16:31:56,1334176213242:::Russia,./../audio_stimuli/stimuli/SbatT.mp3,0,4781,2064:::Played stimuli ./../audio_stimuli/stimuli/SbatT.mp3
4/11/2012 16:33:41,1334176213242:::Russia,./../audio_stimuli/stimuli/SboughtQ.mp3,2,2381,2194:::Played stimuli ./../audio_stimuli/stimuli/SboughtQ.mp3; (0:1334176417540); (1:1334176417716); (2:1334176418036)
4/11/2012 16:33:52,1334176213242:::Russia,./../audio_stimuli/stimuli/SbootD.mp3,1,2193,1593:::Played stimuli ./../audio_stimuli/stimuli/SbootD.mp3; (0:1334176428937); (1:1334176429084)
4/11/2012 16:33:57,1334176213242:::Russia,./../audio_stimuli/stimuli/SpotQ.mp3,1,2095,1829:::Played stimuli ./../audio_stimuli/stimuli/SpotQ.mp3; (0:1334176433814); (1:1334176433980)
4/11/2012 16:34:22,1334176213242:::Russia,./../audio_stimuli/stimuli/SboyD.mp3,3,4892,1802:::Played stimuli ./../audio_stimuli/stimuli/SboyD.mp3; (0:1334176458566); (1:1334176458604); (3:1334176459509)
4/11/2012 16:34:29,1334176213242:::Russia,./../audio_stimuli/stimuli/SbertD.mp3,1,2006,3474:::Played stimuli ./../audio_stimuli/stimuli/SbertD.mp3; (0:1334176465554); (1:1334176465588)
