Timestamp,participantID,audioStimuli,vote,reactionTime,voteDetails
4/11/2012 13:48:54,1334166421271:::South Africa,./../audio_stimuli/recs2/14Mpost1.mp3,-5,4809,2592:::Played stimuli ./../audio_stimuli/recs2/14Mpost1.mp3; (0:1334166532514); (-1:1334166532547); (-2:1334166532597); (-3:1334166532630); (-4:1334166532664); (-5:1334166532730)
4/11/2012 13:49:20,1334166421271:::South Africa,./../audio_stimuli/recs2/19Mpost1.mp3,-5,4663,2844:::Played stimuli ./../audio_stimuli/recs2/19Mpost1.mp3; (0:1334166557170); (-1:1334166557202); (-2:1334166557234); (-3:1334166557268); (-4:1334166557284); (-5:1334166557334)
4/11/2012 13:51:17,1334166421271:::South Africa,./../audio_stimuli/recs2/22Mpost4.mp3,-2,3296,2592:::Played stimuli ./../audio_stimuli/recs2/22Mpost4.mp3; (0:1334166675610); (-1:1334166675659); (-2:1334166675876)
4/11/2012 13:53:52,1334166421271:::South Africa,./../audio_stimuli/recs2/15Mpost1.mp3,-5,3697,2664:::Played stimuli ./../audio_stimuli/recs2/15Mpost1.mp3; (0:1334166830098); (-1:1334166830115); (-2:1334166830148); (-3:1334166830163); (-4:1334166830197); (-5:1334166830247)
4/11/2012 13:55:32,1334166421271:::South Africa,./../audio_stimuli/recs1/11Mpost2.mp3,-4,2221,2484:::Played stimuli ./../audio_stimuli/recs1/11Mpost2.mp3
4/11/2012 13:55:59,1334166421271:::South Africa,./../audio_stimuli/recs4/50Mpost5.mp3,-5,2923,3744:::Played stimuli ./../audio_stimuli/recs4/50Mpost5.mp3; (-5:1334166958297)
4/11/2012 13:56:31,1334166421271:::South Africa,./../audio_stimuli/recs3/32Mpost4.mp3,-5,3500,2736:::Played stimuli ./../audio_stimuli/recs3/32Mpost4.mp3
4/11/2012 13:56:37,1334166421271:::South Africa,./../audio_stimuli/recs1/10Mpost6.mp3,-5,1269,3636:::Played stimuli ./../audio_stimuli/recs1/10Mpost6.mp3
4/11/2012 13:56:43,1334166421271:::South Africa,./../audio_stimuli/recs1/10Mpost6.mp3,0,7211,3636:::Played stimuli ./../audio_stimuli/recs1/10Mpost6.mp3
4/11/2012 13:57:32,1334166421271:::South Africa,./../audio_stimuli/recs4/40Mpost4.mp3,2,3632,2916:::Played stimuli ./../audio_stimuli/recs4/40Mpost4.mp3; (2:1334167051084)
4/11/2012 13:57:39,1334166421271:::South Africa,./../audio_stimuli/recs4/40Mpost4.mp3,0,10033,2916:::Played stimuli ./../audio_stimuli/recs4/40Mpost4.mp3; (2:1334167051084)
4/11/2012 14:00:09,1334166421271:::South Africa,./../audio_stimuli/recs1/03Mpost1.mp3,4,2385,2736:::Played stimuli ./../audio_stimuli/recs1/03Mpost1.mp3; (4:1334167208119)
4/11/2012 14:00:20,1334166421271:::South Africa,./../audio_stimuli/recs3/34Mpost3.mp3,5,2199,2736:::Played stimuli ./../audio_stimuli/recs3/34Mpost3.mp3; (5:1334167217919)
4/11/2012 14:00:24,1334166421271:::South Africa,./../audio_stimuli/recs3/34Mpost3.mp3,0,5993,2736:::Played stimuli ./../audio_stimuli/recs3/34Mpost3.mp3; (5:1334167217919)
4/11/2012 14:01:01,1334166421271:::South Africa,./../audio_stimuli/recs4/38Mpost5.mp3,-2,5065,4320:::Played stimuli ./../audio_stimuli/recs4/38Mpost5.mp3; (3:1334167256222); (-2:1334167259762)
4/11/2012 14:01:15,1334166421271:::South Africa,./../audio_stimuli/recs4/44Mpost5.mp3,-3,4531,2844:::Played stimuli ./../audio_stimuli/recs4/44Mpost5.mp3; (3:1334167271446); (-3:1334167273436)
4/11/2012 14:03:10,1334167356241:::Sussex,./../audio_stimuli/recs3/33Cpost1.mp3,5,3359,2952:::Played stimuli ./../audio_stimuli/recs3/33Cpost1.mp3; (5:1334167388737)
4/11/2012 14:10:09,1334167356241:::Sussex,./../audio_stimuli/recs1/06Cpost2.mp3,-5,4475,2340:::Played stimuli ./../audio_stimuli/recs1/06Cpost2.mp3
4/11/2012 14:10:13,1334167356241:::Sussex,./../audio_stimuli/recs1/06Cpost2.mp3,0,8535,2340:::Played stimuli ./../audio_stimuli/recs1/06Cpost2.mp3
4/11/2012 16:31:04,1334176213242:::Russia,./../audio_stimuli/recs4/48Spost6.mp3,1,6286,5724:::Played stimuli ./../audio_stimuli/recs4/48Spost6.mp3; (0:1334176258736); (1:1334176258996)
4/11/2012 16:31:14,1334176213242:::Russia,./../audio_stimuli/recs2/25Spost3.mp3,-2,4940,3204:::Played stimuli ./../audio_stimuli/recs2/25Spost3.mp3; (0:1334176270135); (-1:1334176270420); (-2:1334176270916)
4/11/2012 16:33:35,1334176213242:::Russia,./../audio_stimuli/recs2/19Spost5.mp3,-1,2511,2700:::Played stimuli ./../audio_stimuli/recs2/19Spost5.mp3; (-1:1334176412772)
4/11/2012 16:34:14,1334176213242:::Russia,./../audio_stimuli/recs2/23Spost5.mp3,5,2884,2700:::Played stimuli ./../audio_stimuli/recs2/23Spost5.mp3; (0:1334176450443); (1:1334176450700); (2:1334176450732); (3:1334176450756); (4:1334176451664); (5:1334176451724)
4/11/2012 16:35:18,1334176213242:::Russia,./../audio_stimuli/recs2/18Spost3.mp3,3,1977,3888:::Played stimuli ./../audio_stimuli/recs2/18Spost3.mp3; (0:1334176515115); (1:1334176515139); (2:1334176515179); (3:1334176515332)
4/11/2012 17:48:58,1334179777376:::Russia,./../audio_stimuli/recs1/06Spost5.mp3,2,16245,2988:::Played stimuli ./../audio_stimuli/recs1/06Spost5.mp3; (1:1334180938964); (2:1334180940643)
4/11/2012 17:49:13,1334179777376:::Russia,./../audio_stimuli/recs1/06Spost5.mp3,0,31860,2988:::Played stimuli ./../audio_stimuli/recs1/06Spost5.mp3; (1:1334180938964); (2:1334180940643)
