Timestamp,participantID,audioStimuli,vote,reactionTime,voteDetails
4/11/2012 13:50:06,1334166421271:::South Africa,./../audio_stimuli/recs3/31pre5.mp3,-4,3499,2628:::Played stimuli ./../audio_stimuli/recs3/31pre5.mp3; (0:1334166604960); (-1:1334166604993); (-2:1334166605042); (-3:1334166605076); (-4:1334166605176)
4/11/2012 13:51:03,1334166421271:::South Africa,./../audio_stimuli/recs3/29pre2.mp3,-3,3985,2844:::Played stimuli ./../audio_stimuli/recs3/29pre2.mp3; (0:1334166660694); (-1:1334166660761); (-2:1334166660912); (-3:1334166661678)
4/11/2012 13:53:36,1334166421271:::South Africa,./../audio_stimuli/recs2/19pre2.mp3,1,5301,2376:::Played stimuli ./../audio_stimuli/recs2/19pre2.mp3; (0:1334166811850); (-1:1334166811915); (-2:1334166811966); (-3:1334166812616); (-4:1334166812698); (-5:1334166812817); (-4:1334166813250); (-3:1334166813299); (-2:1334166813350); (-1:1334166813383); (0:1334166813416); (1:1334166813448); (2:1334166813465); (3:1334166813515); (4:1334166813566); (3:1334166813931); (2:1334166813999); (1:1334166814332)
4/11/2012 13:54:18,1334166421271:::South Africa,./../audio_stimuli/recs4/45pre6.mp3,2,3665,5040:::Played stimuli ./../audio_stimuli/recs4/45pre6.mp3; (0:1334166856296); (1:1334166856380); (2:1334166856480)
4/11/2012 13:58:00,1334166421271:::South Africa,./../audio_stimuli/recs4/39pre6.mp3,-5,-1110,3852:::Played stimuli ./../audio_stimuli/recs4/39pre6.mp3
4/11/2012 13:58:54,1334166421271:::South Africa,./../audio_stimuli/recs1/01pre6.mp3,-5,1820,3996:::Played stimuli ./../audio_stimuli/recs1/01pre6.mp3
4/11/2012 13:59:07,1334166421271:::South Africa,./../audio_stimuli/recs2/14pre1.mp3,-5,2035,2520:::Played stimuli ./../audio_stimuli/recs2/14pre1.mp3
4/11/2012 14:00:37,1334166421271:::South Africa,./../audio_stimuli/recs3/34pre3.mp3,3,3618,2628:::Played stimuli ./../audio_stimuli/recs3/34pre3.mp3; (3:1334167236276)
4/11/2012 14:03:36,1334167356241:::Sussex,./../audio_stimuli/recs1/03pre5.mp3,-5,3346,2844:::Played stimuli ./../audio_stimuli/recs1/03pre5.mp3; (4:1334167412852); (-5:1334167414949)
4/11/2012 14:03:59,1334167356241:::Sussex,./../audio_stimuli/recs3/33pre1.mp3,-4,2296,3204:::Played stimuli ./../audio_stimuli/recs3/33pre1.mp3; (-4:1334167438307)
4/11/2012 14:04:06,1334167356241:::Sussex,./../audio_stimuli/recs3/33pre1.mp3,0,8855,3204:::Played stimuli ./../audio_stimuli/recs3/33pre1.mp3; (-4:1334167438307)
4/11/2012 14:04:26,1334167356241:::Sussex,./../audio_stimuli/recs1/08pre1.mp3,-5,1320,3060:::Played stimuli ./../audio_stimuli/recs1/08pre1.mp3; (-5:1334167465095)
4/11/2012 14:04:48,1334167356241:::Sussex,./../audio_stimuli/recs1/11pre5.mp3,-4,2193,2088:::Played stimuli ./../audio_stimuli/recs1/11pre5.mp3
4/11/2012 14:06:33,1334167356241:::Sussex,./../audio_stimuli/recs3/31pre4.mp3,-5,1188,2916:::Played stimuli ./../audio_stimuli/recs3/31pre4.mp3; (-5:1334167591886)
4/11/2012 14:08:03,1334167356241:::Sussex,./../audio_stimuli/recs2/18pre2.mp3,-5,1227,3348:::Played stimuli ./../audio_stimuli/recs2/18pre2.mp3; (-5:1334167681778)
4/11/2012 14:10:01,1334167356241:::Sussex,./../audio_stimuli/recs3/36pre2.mp3,-5,2316,2160:::Played stimuli ./../audio_stimuli/recs3/36pre2.mp3
4/11/2012 14:11:36,1334167356241:::Sussex,./../audio_stimuli/recs4/40pre6.mp3,-5,1868,4032:::Played stimuli ./../audio_stimuli/recs4/40pre6.mp3; (-5:1334167893867)
4/11/2012 16:34:08,1334176213242:::Russia,./../audio_stimuli/recs1/03pre2.mp3,-4,1993,2664:::Played stimuli ./../audio_stimuli/recs1/03pre2.mp3; (0:1334176444828); (-1:1334176444878); (-2:1334176444932); (-3:1334176444956); (-4:1334176444988)
4/11/2012 17:03:44,1334175044851:::South Africa,./../audio_stimuli/recs1/05pre6.mp3,-5,3088,3420:::Played stimuli ./../audio_stimuli/recs1/05pre6.mp3; (0:1334178222501); (-1:1334178222534); (-2:1334178222550); (-3:1334178222568); (-4:1334178222585); (-5:1334178222601)
4/11/2012 17:03:55,1334175044851:::South Africa,./../audio_stimuli/recs2/23pre2.mp3,-5,1253,3600:::Played stimuli ./../audio_stimuli/recs2/23pre2.mp3; (0:1334178233639); (-1:1334178233657); (-2:1334178233673); (-4:1334178233692); (-5:1334178233711)
4/11/2012 17:04:05,1334175044851:::South Africa,./../audio_stimuli/recs4/47pre3.mp3,-5,2035,2556:::Played stimuli ./../audio_stimuli/recs4/47pre3.mp3; (0:1334178244030); (-1:1334178244080); (-2:1334178244097); (-3:1334178244112); (-4:1334178244129); (-5:1334178244145)
4/11/2012 17:37:18,1334179777376:::Russia,./../audio_stimuli/recs1/09pre4.mp3,-4,10635,3168:::Played stimuli ./../audio_stimuli/recs1/09pre4.mp3
4/11/2012 17:37:31,1334179777376:::Russia,./../audio_stimuli/recs1/09pre4.mp3,0,27113,3168:::Played stimuli ./../audio_stimuli/recs1/09pre4.mp3
4/11/2012 17:52:32,1334179777376:::Russia,./../audio_stimuli/recs4/41pre2.mp3,4,6456,3132:::Played stimuli ./../audio_stimuli/recs4/41pre2.mp3; (4:1334181155449)
4/11/2012 17:53:44,1334179777376:::Russia,./../audio_stimuli/recs1/07pre3.mp3,-5,3648,3852:::Played stimuli ./../audio_stimuli/recs1/07pre3.mp3; (-5:1334181227299)
4/11/2012 17:53:58,1334179777376:::Russia,./../audio_stimuli/recs1/07pre3.mp3,0,17132,3852:::Played stimuli ./../audio_stimuli/recs1/07pre3.mp3; (-5:1334181227299)
4/11/2012 17:54:56,1334179777376:::Russia,./../audio_stimuli/recs1/03pre3.mp3,-5,4738,3492:::Played stimuli ./../audio_stimuli/recs1/03pre3.mp3; (-5:1334181298262)
4/11/2012 18:04:25,1334179777376:::Russia,./../audio_stimuli/recs2/22pre3.mp3,-5,10941,3420:::Played stimuli ./../audio_stimuli/recs2/22pre3.mp3; (-5:1334181865293)
4/11/2012 18:05:50,1334179777376:::Russia,./../audio_stimuli/recs4/41pre1.mp3,5,2975,3420:::Played stimuli ./../audio_stimuli/recs4/41pre1.mp3; (5:1334181952942)
4/11/2012 18:06:41,1334179777376:::Russia,./../audio_stimuli/recs2/15pre1.mp3,-5,3631,3564:::Played stimuli ./../audio_stimuli/recs2/15pre1.mp3; (-5:1334182003443)
4/11/2012 20:00:51,1334188331915:::Russia,./../audio_stimuli/recs1/02pre2.mp3,-5,6910,2448:::Played stimuli ./../audio_stimuli/recs1/02pre2.mp3; (0:1334188844185); (-1:1334188844272); (-2:1334188844291); (-3:1334188844310); (-4:1334188844344); (-5:1334188844411)
4/11/2012 21:13:42,1334192849800:::Sussex,./../audio_stimuli/recs2/21pre5.mp3,-5,3676,2592:::Played stimuli ./../audio_stimuli/recs2/21pre5.mp3; (0:1334193215552); (-1:1334193215592); (-2:1334193215642); (-4:1334193215672); (-5:1334193215702)
4/11/2012 21:16:33,1334192849800:::Sussex,./../audio_stimuli/recs1/05pre3.mp3,-5,3583,2772:::Played stimuli ./../audio_stimuli/recs1/05pre3.mp3; (0:1334193386364); (-1:1334193386394); (-3:1334193386424); (-5:1334193386444)
4/11/2012 21:19:10,1334192849800:::Sussex,./../audio_stimuli/recs4/39pre4.mp3,-5,4388,2808:::Played stimuli ./../audio_stimuli/recs4/39pre4.mp3; (0:1334193542302); (-1:1334193542363); (-2:1334193542404); (-3:1334193542548); (-4:1334193542922); (-5:1334193543034)
4/11/2012 21:22:56,1334184025685:::Russia,./../audio_stimuli/recs3/28pre1.mp3,-5,3085,3708:::Played stimuli ./../audio_stimuli/recs3/28pre1.mp3; (-5:1334184302918)
4/11/2012 21:28:35,1334193755482:::South Africa,./../audio_stimuli/recs2/23pre2.mp3,-5,2595,3600:::Played stimuli ./../audio_stimuli/recs2/23pre2.mp3; (-5:1334194112013)
4/11/2012 21:30:21,1334193755482:::South Africa,./../audio_stimuli/recs2/19pre4.mp3,-2,3931,2520:::Played stimuli ./../audio_stimuli/recs2/19pre4.mp3; (-2:1334194218198)
4/11/2012 21:31:57,1334193755482:::South Africa,./../audio_stimuli/recs1/03pre4.mp3,-5,3901,2700:::Played stimuli ./../audio_stimuli/recs1/03pre4.mp3; (-5:1334194314262)
4/11/2012 21:38:16,1334193755482:::South Africa,./../audio_stimuli/recs3/28pre6.mp3,-5,1762,5040:::Played stimuli ./../audio_stimuli/recs3/28pre6.mp3; (-5:1334194692011)
4/11/2012 21:41:52,1334194837151:::Russia,./../audio_stimuli/recs3/27pre2.mp3,-5,3777,3024:::Played stimuli ./../audio_stimuli/recs3/27pre2.mp3; (-4:1334194908536); (-5:1334194909626)
4/11/2012 21:50:23,1334195202347:::Sussex,./../audio_stimuli/recs2/24pre6.mp3,-4,3000,4572:::Played stimuli ./../audio_stimuli/recs2/24pre6.mp3; (-4:1334195420177)
4/11/2012 21:51:14,1334195202347:::Sussex,./../audio_stimuli/recs1/10pre1.mp3,-3,2699,3132:::Played stimuli ./../audio_stimuli/recs1/10pre1.mp3; (-3:1334195471053)
4/11/2012 21:53:51,1334195202347:::Sussex,./../audio_stimuli/recs4/47pre2.mp3,-5,2265,2376:::Played stimuli ./../audio_stimuli/recs4/47pre2.mp3; (-5:1334195628476)
4/11/2012 22:51:23,1334198981039:::Sussex,./../audio_stimuli/recs3/26pre3.mp3,0,null,NaN:::Played stimuli ./../audio_stimuli/recs3/26pre3.mp3
4/11/2012 22:52:59,1334199002283:::South Africa,./../audio_stimuli/recs2/23pre1.mp3,-5,2694,3204:::Played stimuli ./../audio_stimuli/recs2/23pre1.mp3; (-5:1334199188228)
